Route (State),Factory,State,Region,Total_Shipments,Avg_Lead_Time,Lead_Time_StdDev,Total_Sales
Lot's O' Nuts -> Alabama,Lot's O' Nuts,Alabama,Gulf,34,178.14705882352942,1.7430790058621402,475.61
Lot's O' Nuts -> Alberta,Lot's O' Nuts,Alberta,Pacific,16,178.1875,0.9810708435174239,204.32
Lot's O' Nuts -> Arizona,Lot's O' Nuts,Arizona,Pacific,111,177.67567567567568,1.9961880133811536,1468.05
Lot's O' Nuts -> Arkansas,Lot's O' Nuts,Arkansas,Gulf,31,177.8709677419355,2.404744414470013,434.69
Lot's O' Nuts -> British Columbia,Lot's O' Nuts,British Columbia,Pacific,18,178.11111111111111,0.9002541398626627,253.4
Lot's O' Nuts -> California,Lot's O' Nuts,California,Pacific,1125,177.41244444444445,1.914225119835937,15044.9
Lot's O' Nuts -> Colorado,Lot's O' Nuts,Colorado,Pacific,103,177.32038834951456,1.8535265393351648,1447.66
Lot's O' Nuts -> Connecticut,Lot's O' Nuts,Connecticut,Atlantic,47,177.17021276595744,2.1194661852146575,523.59
Lot's O' Nuts -> Delaware,Lot's O' Nuts,Delaware,Atlantic,43,177.69767441860466,2.064840403390267,631.59
Lot's O' Nuts -> District of Columbia,Lot's O' Nuts,District of Columbia,Atlantic,8,178.875,0.834522960396291,126.0
Lot's O' Nuts -> Florida,Lot's O' Nuts,Florida,Gulf,209,177.5071770334928,1.876267820662771,2640.13
Lot's O' Nuts -> Georgia,Lot's O' Nuts,Georgia,Gulf,110,177.43636363636364,2.0655641996524228,1474.09
Lot's O' Nuts -> Idaho,Lot's O' Nuts,Idaho,Pacific,14,177.5,1.4544361847068465,146.5
Lot's O' Nuts -> Illinois,Lot's O' Nuts,Illinois,Interior,267,177.75655430711612,1.5884640876500606,3539.21
Lot's O' Nuts -> Indiana,Lot's O' Nuts,Indiana,Interior,90,177.74444444444444,1.7581982037999024,1253.78
Lot's O' Nuts -> Iowa,Lot's O' Nuts,Iowa,Interior,16,177.6875,1.8874586088176963,227.87
Lot's O' Nuts -> Kansas,Lot's O' Nuts,Kansas,Interior,15,177.6,1.5946338585572346,188.93
Lot's O' Nuts -> Kentucky,Lot's O' Nuts,Kentucky,Gulf,77,177.67532467532467,1.7803130892712353,1039.13
Lot's O' Nuts -> Louisiana,Lot's O' Nuts,Louisiana,Gulf,24,176.95833333333334,1.9444271910897863,283.71000000000004
Lot's O' Nuts -> Maine,Lot's O' Nuts,Maine,Atlantic,6,179.0,1.0954451150103284,71.23
Lot's O' Nuts -> Manitoba,Lot's O' Nuts,Manitoba,Interior,2,175.5,0.7071067811865476,18.0
Lot's O' Nuts -> Maryland,Lot's O' Nuts,Maryland,Atlantic,60,177.56666666666666,1.889907778816034,812.74
Lot's O' Nuts -> Massachusetts,Lot's O' Nuts,Massachusetts,Atlantic,76,177.22368421052633,1.6378741035095947,1003.24
Lot's O' Nuts -> Michigan,Lot's O' Nuts,Michigan,Interior,147,177.51020408163265,2.0080909865143552,2103.76
Lot's O' Nuts -> Minnesota,Lot's O' Nuts,Minnesota,Interior,43,178.30232558139534,1.4562653427915224,561.21
Lot's O' Nuts -> Mississippi,Lot's O' Nuts,Mississippi,Gulf,30,177.6,1.6938020891595873,448.43
Lot's O' Nuts -> Missouri,Lot's O' Nuts,Missouri,Interior,36,177.83333333333334,1.4040757000349326,514.08
Lot's O' Nuts -> Montana,Lot's O' Nuts,Montana,Pacific,8,178.0,0.9258200997725493,92.61
Lot's O' Nuts -> Nebraska,Lot's O' Nuts,Nebraska,Interior,23,176.8695652173913,1.4555332614196086,295.28000000000003
Lot's O' Nuts -> Nevada,Lot's O' Nuts,Nevada,Pacific,24,177.91666666666666,2.1247335723857708,389.21000000000004
Lot's O' Nuts -> New Brunswick,Lot's O' Nuts,New Brunswick,Atlantic,4,177.5,0.5773502691896257,97.72
Lot's O' Nuts -> New Hampshire,Lot's O' Nuts,New Hampshire,Atlantic,13,176.69230769230768,1.2506408613597129,178.02
Lot's O' Nuts -> New Jersey,Lot's O' Nuts,New Jersey,Atlantic,65,178.1076923076923,1.6309801206164865,825.88
Lot's O' Nuts -> New Mexico,Lot's O' Nuts,New Mexico,Pacific,18,178.55555555555554,1.1991282236408418,260.71
Lot's O' Nuts -> New York,Lot's O' Nuts,New York,Atlantic,645,177.63720930232557,1.8054038005784538,8757.81
Lot's O' Nuts -> Newfoundland and Labrador,Lot's O' Nuts,Newfoundland and Labrador,Atlantic,6,181.5,2.9495762407505217,162.0
Lot's O' Nuts -> North Carolina,Lot's O' Nuts,North Carolina,Gulf,143,177.66433566433565,1.7680420297409125,2045.6100000000001
Lot's O' Nuts -> North Dakota,Lot's O' Nuts,North Dakota,Interior,5,177.2,1.6431676725155002,57.160000000000004
Lot's O' Nuts -> Ohio,Lot's O' Nuts,Ohio,Atlantic,262,177.0763358778626,2.053380804835216,3472.7400000000002
Lot's O' Nuts -> Oklahoma,Lot's O' Nuts,Oklahoma,Interior,41,177.97560975609755,2.0553321492893675,569.4
Lot's O' Nuts -> Ontario,Lot's O' Nuts,Ontario,Atlantic,28,176.85714285714286,1.3801311186846983,348.32
Lot's O' Nuts -> Oregon,Lot's O' Nuts,Oregon,Pacific,77,178.03896103896105,1.7580009463619244,1085.9
Lot's O' Nuts -> Pennsylvania,Lot's O' Nuts,Pennsylvania,Atlantic,331,177.51359516616313,1.5321690129022143,4338.55
Lot's O' Nuts -> Prince Edward Island,Lot's O' Nuts,Prince Edward Island,Atlantic,6,178.33333333333334,0.5163977794943225,78.1
Lot's O' Nuts -> Quebec,Lot's O' Nuts,Quebec,Atlantic,24,177.54166666666666,2.063748524170157,242.93
Lot's O' Nuts -> Rhode Island,Lot's O' Nuts,Rhode Island,Atlantic,30,176.96666666666667,1.8473342085721534,353.76
Lot's O' Nuts -> South Carolina,Lot's O' Nuts,South Carolina,Gulf,21,177.23809523809524,1.6402671094904573,281.32
Lot's O' Nuts -> South Dakota,Lot's O' Nuts,South Dakota,Interior,9,178.66666666666666,0.8660254037844347,117.59
Lot's O' Nuts -> Tennessee,Lot's O' Nuts,Tennessee,Gulf,109,177.94495412844037,1.5976537333164573,1361.56
Lot's O' Nuts -> Texas,Lot's O' Nuts,Texas,Interior,569,177.57469244288225,1.728528016604227,7642.34
Lot's O' Nuts -> Utah,Lot's O' Nuts,Utah,Pacific,29,178.17241379310346,1.2836600995713494,393.91
Lot's O' Nuts -> Vermont,Lot's O' Nuts,Vermont,Atlantic,5,177.4,0.8944271909999143,103.19
Lot's O' Nuts -> Virginia,Lot's O' Nuts,Virginia,Gulf,109,177.42201834862385,1.7442688056394542,1538.84
Lot's O' Nuts -> Washington,Lot's O' Nuts,Washington,Pacific,269,177.66914498141264,1.8803321230785486,3492.91
Lot's O' Nuts -> West Virginia,Lot's O' Nuts,West Virginia,Atlantic,2,176.0,2.8284271247461903,38.72
Lot's O' Nuts -> Wisconsin,Lot's O' Nuts,Wisconsin,Interior,58,177.44827586206895,1.8654044648016346,768.25
Lot's O' Nuts -> Wyoming,Lot's O' Nuts,Wyoming,Pacific,1,178.0,0.0,13.96
Secret Factory -> Alabama,Secret Factory,Alabama,Gulf,3,176.66666666666666,1.1547005383792557,150.0
Secret Factory -> Alberta,Secret Factory,Alberta,Pacific,2,179.0,0.0,180.0
Secret Factory -> Arizona,Secret Factory,Arizona,Pacific,5,178.0,1.5811388300841898,640.0
Secret Factory -> Arkansas,Secret Factory,Arkansas,Gulf,2,178.0,1.4142135623730951,63.75
